date,home,score,away_team
17-10-2022,Lecce,1 - 1,Fiorentina
22-10-2022,Fiorentina,3 - 4,Inter
30-10-2022,Spezia,1 - 2,Fiorentina
06-11-2022,Sampdoria,0 - 2,Fiorentina
09-11-2022,Fiorentina,2 - 1,Salernitana
13-11-2022,Milan,2 - 1,Fiorentina
04-01-2023,Fiorentina,1 - 1,Monza
07-01-2023,Fiorentina,2 - 1,Sassuolo
15-01-2023,Roma,2 - 0,Fiorentina
21-01-2023,Fiorentina,0 - 1,Torino
29-01-2023,Lazio,1 - 1,Fiorentina
05-02-2023,Fiorentina,1 - 2,Bologna
12-02-2023,Juventus,1 - 0,Fiorentina
19-02-2023,Fiorentina,1 - 1,Empoli
27-02-2023,Verona,0 - 3,Fiorentina
04-03-2023,Fiorentina,2 - 1,Milan
12-03-2023,Cremonese,0 - 2,Fiorentina
19-03-2023,Fiorentina,1 - 0,Lecce
01-04-2023,Inter,? - ?,Fiorentina
13-08-2022,Lecce,1 - 2,Inter
20-08-2022,Inter,3 - 0,Spezia
26-08-2022,Lazio,3 - 1,Inter
30-08-2022,Inter,3 - 1,Cremonese
03-09-2022,Milan,3 - 2,Inter
10-09-2022,Inter,1 - 0,Torino
18-09-2022,Udinese,3 - 1,Inter
01-10-2022,Inter,1 - 2,Roma
08-10-2022,Sassuolo,1 - 2,Inter
16-10-2022,Inter,2 - 0,Salernitana
22-10-2022,Fiorentina,3 - 4,Inter
29-10-2022,Inter,3 - 0,Sampdoria
06-11-2022,Juventus,2 - 0,Inter
09-11-2022,Inter,6 - 1,Bologna
13-11-2022,Atalanta,2 - 3,Inter
04-01-2023,Inter,1 - 0,Napoli
07-01-2023,Monza,2 - 2,Inter
14-01-2023,Inter,1 - 0,Verona
23-01-2023,Inter,0 - 1,Empoli
28-01-2023,Cremonese,1 - 2,Inter
05-02-2023,Inter,1 - 0,Milan
13-02-2023,Sampdoria,0 - 0,Inter
18-02-2023,Inter,3 - 1,Udinese
26-02-2023,Bologna,1 - 0,Inter
05-03-2023,Inter,2 - 0,Lecce
10-03-2023,Spezia,2 - 1,Inter
19-03-2023,Inter,0 - 1,Juventus
01-04-2023,Inter,? - ?,Fiorentina
15-08-2022,Juventus,3 - 0,Sassuolo
22-08-2022,Sampdoria,0 - 0,Juventus
27-08-2022,Juventus,1 - 1,Roma
31-08-2022,Juventus,2 - 0,Spezia
03-09-2022,Fiorentina,1 - 1,Juventus
11-09-2022,Juventus,2 - 2,Salernitana
18-09-2022,Monza,1 - 0,Juventus
02-10-2022,Juventus,3 - 0,Bologna
08-10-2022,Milan,2 - 0,Juventus
15-10-2022,Torino,0 - 1,Juventus
21-10-2022,Juventus,4 - 0,Empoli
29-10-2022,Lecce,0 - 1,Juventus
06-11-2022,Juventus,2 - 0,Inter
10-11-2022,Verona,0 - 1,Juventus
13-11-2022,Juventus,3 - 0,Lazio
04-01-2023,Cremonese,0 - 1,Juventus
07-01-2023,Juventus,1 - 0,Udinese
13-01-2023,Napoli,5 - 1,Juventus
22-01-2023,Juventus,3 - 3,Atalanta
29-01-2023,Juventus,0 - 2,Monza
07-02-2023,Salernitana,0 - 3,Juventus
12-02-2023,Juventus,1 - 0,Fiorentina
19-02-2023,Spezia,0 - 2,Juventus
28-02-2023,Juventus,4 - 2,Torino
05-03-2023,Roma,1 - 0,Juventus
12-03-2023,Juventus,4 - 2,Sampdoria
19-03-2023,Inter,0 - 1,Juventus
01-04-2023,Juventus,? - ?,Verona
14-08-2022,Lazio,2 - 1,Bologna
20-08-2022,Torino,0 - 0,Lazio
26-08-2022,Lazio,3 - 1,Inter
31-08-2022,Sampdoria,1 - 1,Lazio
03-09-2022,Lazio,1 - 2,Napoli
11-09-2022,Lazio,2 - 0,Verona
18-09-2022,Cremonese,0 - 4,Lazio
02-10-2022,Lazio,4 - 0,Spezia
10-10-2022,Fiorentina,0 - 4,Lazio
16-10-2022,Lazio,0 - 0,Udinese
23-10-2022,Atalanta,0 - 2,Lazio
30-10-2022,Lazio,1 - 3,Salernitana
06-11-2022,Roma,0 - 1,Lazio
10-11-2022,Lazio,1 - 0,Monza
13-11-2022,Juventus,3 - 0,Lazio
04-01-2023,Lecce,2 - 1,Lazio
08-01-2023,Lazio,2 - 2,Empoli
15-01-2023,Sassuolo,0 - 2,Lazio
24-01-2023,Lazio,4 - 0,Milan
29-01-2023,Lazio,1 - 1,Fiorentina
06-02-2023,Verona,1 - 1,Lazio
11-02-2023,Lazio,0 - 2,Atalanta
19-02-2023,Salernitana,0 - 2,Lazio
27-02-2023,Lazio,1 - 0,Sampdoria
03-03-2023,Napoli,0 - 1,Lazio
11-03-2023,Bologna,0 - 0,Lazio
19-03-2023,Lazio,1 - 0,Roma
02-04-2023,Monza,? - ?,Lazio
13-08-2022,Lecce,1 - 2,Inter
20-08-2022,Sassuolo,1 - 0,Lecce
28-08-2022,Lecce,1 - 1,Empoli
31-08-2022,Napoli,1 - 1,Lecce
05-09-2022,Torino,1 - 0,Lecce
11-09-2022,Lecce,1 - 1,Monza
16-09-2022,Salernitana,1 - 2,Lecce
02-10-2022,Lecce,1 - 1,Cremonese
09-10-2022,Roma,2 - 1,Lecce
17-10-2022,Lecce,1 - 1,Fiorentina
23-10-2022,Bologna,2 - 0,Lecce
29-10-2022,Lecce,0 - 1,Juventus
04-11-2022,Udinese,1 - 1,Lecce
09-11-2022,Lecce,2 - 1,Atalanta
12-11-2022,Sampdoria,0 - 2,Lecce
04-01-2023,Lecce,2 - 1,Lazio
08-01-2023,Spezia,0 - 0,Lecce
14-01-2023,Lecce,2 - 2,Milan
21-01-2023,Verona,2 - 0,Lecce
27-01-2023,Lecce,1 - 2,Salernitana
04-02-2023,Cremonese,0 - 2,Lecce
11-02-2023,Lecce,1 - 1,Roma
19-02-2023,Atalanta,1 - 2,Lecce
25-02-2023,Lecce,0 - 1,Sassuolo
05-03-2023,Inter,2 - 0,Lecce
12-03-2023,Lecce,0 - 2,Torino
19-03-2023,Fiorentina,1 - 0,Lecce
13-08-2022,Milan,4 - 2,Udinese
21-08-2022,Atalanta,1 - 1,Milan
27-08-2022,Milan,2 - 0,Bologna
30-08-2022,Sassuolo,0 - 0,Milan
03-09-2022,Milan,3 - 2,Inter
10-09-2022,Sampdoria,1 - 2,Milan
18-09-2022,Milan,1 - 2,Napoli
01-10-2022,Empoli,1 - 3,Milan
08-10-2022,Milan,2 - 0,Juventus
16-10-2022,Verona,1 - 2,Milan
22-10-2022,Milan,4 - 1,Monza
30-10-2022,Torino,2 - 1,Milan
05-11-2022,Milan,2 - 1,Spezia
08-11-2022,Cremonese,0 - 0,Milan
13-11-2022,Milan,2 - 1,Fiorentina
04-01-2023,Salernitana,1 - 2,Milan
08-01-2023,Milan,2 - 2,Roma
14-01-2023,Lecce,2 - 2,Milan
24-01-2023,Lazio,4 - 0,Milan
29-01-2023,Milan,2 - 5,Sassuolo
05-02-2023,Inter,1 - 0,Milan
10-02-2023,Milan,1 - 0,Torino
18-02-2023,Monza,0 - 1,Milan
26-02-2023,Milan,2 - 0,Atalanta
04-03-2023,Fiorentina,2 - 1,Milan
13-03-2023,Milan,1 - 1,Salernitana
18-03-2023,Udinese,3 - 1,Milan
02-04-2023,Napoli,? - ?,Milan
13-08-2022,Monza,1 - 2,Torino
21-08-2022,Napoli,4 - 0,Monza
26-08-2022,Monza,1 - 2,Udinese
30-08-2022,Roma,3 - 0,Monza
05-09-2022,Monza,0 - 2,Atalanta
11-09-2022,Lecce,1 - 1,Monza
18-09-2022,Monza,1 - 0,Juventus
02-10-2022,Sampdoria,0 - 3,Monza
09-10-2022,Monza,2 - 0,Spezia
15-10-2022,Empoli,1 - 0,Monza
22-10-2022,Milan,4 - 1,Monza
31-10-2022,Monza,1 - 2,Bologna
06-11-2022,Monza,2 - 0,Verona
10-11-2022,Lazio,1 - 0,Monza
13-11-2022,Monza,3 - 0,Salernitana
04-01-2023,Fiorentina,1 - 1,Monza
07-01-2023,Monza,2 - 2,Inter
14-01-2023,Cremonese,2 - 3,Monza
22-01-2023,Monza,1 - 1,Sassuolo
29-01-2023,Juventus,0 - 2,Monza
06-02-2023,Monza,2 - 2,Sampdoria
12-02-2023,Bologna,0 - 1,Monza
18-02-2023,Monza,0 - 1,Milan
26-02-2023,Salernitana,3 - 0,Monza
04-03-2023,Monza,2 - 1,Empoli
12-03-2023,Verona,1 - 1,Monza
18-03-2023,Monza,1 - 1,Cremonese
02-04-2023,Monza,? - ?,Lazio
15-08-2022,Verona,2 - 5,Napoli
21-08-2022,Napoli,4 - 0,Monza
28-08-2022,Fiorentina,0 - 0,Napoli
31-08-2022,Napoli,1 - 1,Lecce
03-09-2022,Lazio,1 - 2,Napoli
10-09-2022,Napoli,1 - 0,Spezia
18-09-2022,Milan,1 - 2,Napoli
01-10-2022,Napoli,3 - 1,Torino
09-10-2022,Cremonese,1 - 4,Napoli
16-10-2022,Napoli,3 - 2,Bologna
23-10-2022,Roma,0 - 1,Napoli
29-10-2022,Napoli,4 - 0,Sassuolo
05-11-2022,Atalanta,1 - 2,Napoli
08-11-2022,Napoli,2 - 0,Empoli
12-11-2022,Napoli,3 - 2,Udinese
04-01-2023,Inter,1 - 0,Napoli
08-01-2023,Sampdoria,0 - 2,Napoli
13-01-2023,Napoli,5 - 1,Juventus
21-01-2023,Salernitana,0 - 2,Napoli
29-01-2023,Napoli,2 - 1,Roma
05-02-2023,Spezia,0 - 3,Napoli
12-02-2023,Napoli,3 - 0,Cremonese
17-02-2023,Sassuolo,0 - 2,Napoli
25-02-2023,Empoli,0 - 2,Napoli
03-03-2023,Napoli,0 - 1,Lazio
11-03-2023,Napoli,2 - 0,Atalanta
19-03-2023,Torino,0 - 4,Napoli
02-04-2023,Napoli,? - ?,Milan
14-08-2022,Salernitana,0 - 1,Roma
22-08-2022,Roma,1 - 0,Cremonese
27-08-2022,Juventus,1 - 1,Roma
30-08-2022,Roma,3 - 0,Monza
04-09-2022,Udinese,4 - 0,Roma
12-09-2022,Empoli,1 - 2,Roma
18-09-2022,Roma,0 - 1,Atalanta
01-10-2022,Inter,1 - 2,Roma
09-10-2022,Roma,2 - 1,Lecce
17-10-2022,Sampdoria,0 - 1,Roma
23-10-2022,Roma,0 - 1,Napoli
31-10-2022,Verona,1 - 3,Roma
06-11-2022,Roma,0 - 1,Lazio
09-11-2022,Sassuolo,1 - 1,Roma
13-11-2022,Roma,1 - 1,Torino
04-01-2023,Roma,1 - 0,Bologna
08-01-2023,Milan,2 - 2,Roma
15-01-2023,Roma,2 - 0,Fiorentina
22-01-2023,Spezia,0 - 2,Roma
29-01-2023,Napoli,2 - 1,Roma
04-02-2023,Roma,2 - 0,Empoli
11-02-2023,Lecce,1 - 1,Roma
19-02-2023,Roma,1 - 0,Verona
28-02-2023,Cremonese,2 - 1,Roma
05-03-2023,Roma,1 - 0,Juventus
12-03-2023,Roma,3 - 4,Sassuolo
19-03-2023,Lazio,1 - 0,Roma
02-04-2023,Roma,? - ?,Sampdoria
14-08-2022,Salernitana,0 - 1,Roma
20-08-2022,Udinese,0 - 0,Salernitana
28-08-2022,Salernitana,4 - 0,Sampdoria
01-09-2022,Bologna,1 - 1,Salernitana
05-09-2022,Salernitana,2 - 2,Empoli
11-09-2022,Juventus,2 - 2,Salernitana
16-09-2022,Salernitana,1 - 2,Lecce
02-10-2022,Sassuolo,5 - 0,Salernitana
09-10-2022,Salernitana,2 - 1,Verona
16-10-2022,Inter,2 - 0,Salernitana
22-10-2022,Salernitana,1 - 0,Spezia
30-10-2022,Lazio,1 - 3,Salernitana
05-11-2022,Salernitana,2 - 2,Cremonese
09-11-2022,Fiorentina,2 - 1,Salernitana
13-11-2022,Monza,3 - 0,Salernitana
04-01-2023,Salernitana,1 - 2,Milan
08-01-2023,Salernitana,1 - 1,Torino
15-01-2023,Atalanta,8 - 2,Salernitana
21-01-2023,Salernitana,0 - 2,Napoli
27-01-2023,Lecce,1 - 2,Salernitana
07-02-2023,Salernitana,0 - 3,Juventus
13-02-2023,Verona,1 - 0,Salernitana
19-02-2023,Salernitana,0 - 2,Lazio
26-02-2023,Salernitana,3 - 0,Monza
05-03-2023,Sampdoria,0 - 0,Salernitana
13-03-2023,Milan,1 - 1,Salernitana
18-03-2023,Salernitana,2 - 2,Bologna
02-04-2023,Spezia,? - ?,Salernitana
13-08-2022,Sampdoria,0 - 2,Atalanta
22-08-2022,Sampdoria,0 - 0,Juventus
28-08-2022,Salernitana,4 - 0,Sampdoria
31-08-2022,Sampdoria,1 - 1,Lazio
04-09-2022,Verona,2 - 1,Sampdoria
10-09-2022,Sampdoria,1 - 2,Milan
17-09-2022,Spezia,2 - 1,Sampdoria
02-10-2022,Sampdoria,0 - 3,Monza
08-10-2022,Bologna,1 - 1,Sampdoria
17-10-2022,Sampdoria,0 - 1,Roma
24-10-2022,Cremonese,0 - 1,Sampdoria
29-10-2022,Inter,3 - 0,Sampdoria
06-11-2022,Sampdoria,0 - 2,Fiorentina
09-11-2022,Torino,2 - 0,Sampdoria
12-11-2022,Sampdoria,0 - 2,Lecce
04-01-2023,Sassuolo,1 - 2,Sampdoria
08-01-2023,Sampdoria,0 - 2,Napoli
16-01-2023,Empoli,1 - 0,Sampdoria
22-01-2023,Sampdoria,0 - 1,Udinese
28-01-2023,Atalanta,2 - 0,Sampdoria
06-02-2023,Monza,2 - 2,Sampdoria
13-02-2023,Sampdoria,0 - 0,Inter
18-02-2023,Sampdoria,1 - 2,Bologna
27-02-2023,Lazio,1 - 0,Sampdoria
05-03-2023,Sampdoria,0 - 0,Salernitana
12-03-2023,Juventus,4 - 2,Sampdoria
19-03-2023,Sampdoria,3 - 1,Verona
02-04-2023,Roma,? - ?,Sampdoria
15-08-2022,Juventus,3 - 0,Sassuolo
20-08-2022,Sassuolo,1 - 0,Lecce
27-08-2022,Spezia,2 - 2,Sassuolo
30-08-2022,Sassuolo,0 - 0,Milan
04-09-2022,Cremonese,0 - 0,Sassuolo
11-09-2022,Sassuolo,1 - 3,Udinese
17-09-2022,Torino,0 - 1,Sassuolo
02-10-2022,Sassuolo,5 - 0,Salernitana
08-10-2022,Sassuolo,1 - 2,Inter
15-10-2022,Atalanta,2 - 1,Sassuolo
24-10-2022,Sassuolo,2 - 1,Verona
29-10-2022,Napoli,4 - 0,Sassuolo
05-11-2022,Empoli,1 - 0,Sassuolo
09-11-2022,Sassuolo,1 - 1,Roma
12-11-2022,Bologna,3 - 0,Sassuolo
04-01-2023,Sassuolo,1 - 2,Sampdoria
07-01-2023,Fiorentina,2 - 1,Sassuolo
15-01-2023,Sassuolo,0 - 2,Lazio
22-01-2023,Monza,1 - 1,Sassuolo
29-01-2023,Milan,2 - 5,Sassuolo
04-02-2023,Sassuolo,1 - 0,Atalanta
12-02-2023,Udinese,2 - 2,Sassuolo
17-02-2023,Sassuolo,0 - 2,Napoli
25-02-2023,Lecce,0 - 1,Sassuolo
06-03-2023,Sassuolo,3 - 2,Cremonese
12-03-2023,Roma,3 - 4,Sassuolo
17-03-2023,Sassuolo,1 - 0,Spezia
14-08-2022,Spezia,1 - 0,Empoli
20-08-2022,Inter,3 - 0,Spezia
27-08-2022,Spezia,2 - 2,Sassuolo
31-08-2022,Juventus,2 - 0,Spezia
04-09-2022,Spezia,2 - 2,Bologna
10-09-2022,Napoli,1 - 0,Spezia
17-09-2022,Spezia,2 - 1,Sampdoria
02-10-2022,Lazio,4 - 0,Spezia
09-10-2022,Monza,2 - 0,Spezia
16-10-2022,Spezia,2 - 2,Cremonese
22-10-2022,Salernitana,1 - 0,Spezia
30-10-2022,Spezia,1 - 2,Fiorentina
05-11-2022,Milan,2 - 1,Spezia
08-11-2022,Spezia,1 - 1,Udinese
13-11-2022,Verona,1 - 2,Spezia
04-01-2023,Spezia,2 - 2,Atalanta
08-01-2023,Spezia,0 - 0,Lecce
15-01-2023,Torino,0 - 1,Spezia
22-01-2023,Spezia,0 - 2,Roma
27-01-2023,Bologna,2 - 0,Spezia
05-02-2023,Spezia,0 - 3,Napoli
11-02-2023,Empoli,2 - 2,Spezia
19-02-2023,Spezia,0 - 2,Juventus
26-02-2023,Udinese,2 - 2,Spezia
05-03-2023,Spezia,0 - 0,Verona
10-03-2023,Spezia,2 - 1,Inter
17-03-2023,Sassuolo,1 - 0,Spezia
02-04-2023,Spezia,? - ?,Salernitana
13-08-2022,Monza,1 - 2,Torino
20-08-2022,Torino,0 - 0,Lazio
27-08-2022,Cremonese,1 - 2,Torino
01-09-2022,Atalanta,3 - 1,Torino
05-09-2022,Torino,1 - 0,Lecce
10-09-2022,Inter,1 - 0,Torino
17-09-2022,Torino,0 - 1,Sassuolo
01-10-2022,Napoli,3 - 1,Torino
09-10-2022,Torino,1 - 1,Empoli
15-10-2022,Torino,0 - 1,Juventus
23-10-2022,Udinese,1 - 2,Torino
30-10-2022,Torino,2 - 1,Milan
06-11-2022,Bologna,2 - 1,Torino
09-11-2022,Torino,2 - 0,Sampdoria
13-11-2022,Roma,1 - 1,Torino
04-01-2023,Torino,1 - 1,Verona
08-01-2023,Salernitana,1 - 1,Torino
15-01-2023,Torino,0 - 1,Spezia
21-01-2023,Fiorentina,0 - 1,Torino
28-01-2023,Empoli,2 - 2,Torino
05-02-2023,Torino,1 - 0,Udinese
10-02-2023,Milan,1 - 0,Torino
20-02-2023,Torino,2 - 2,Cremonese
28-02-2023,Juventus,4 - 2,Torino
06-03-2023,Torino,1 - 0,Bologna
12-03-2023,Lecce,0 - 2,Torino
19-03-2023,Torino,0 - 4,Napoli
13-08-2022,Milan,4 - 2,Udinese
20-08-2022,Udinese,0 - 0,Salernitana
26-08-2022,Monza,1 - 2,Udinese
31-08-2022,Udinese,1 - 0,Fiorentina
04-09-2022,Udinese,4 - 0,Roma
11-09-2022,Sassuolo,1 - 3,Udinese
18-09-2022,Udinese,3 - 1,Inter
03-10-2022,Verona,1 - 2,Udinese
09-10-2022,Udinese,2 - 2,Atalanta
16-10-2022,Lazio,0 - 0,Udinese
23-10-2022,Udinese,1 - 2,Torino
30-10-2022,Cremonese,0 - 0,Udinese
04-11-2022,Udinese,1 - 1,Lecce
08-11-2022,Spezia,1 - 1,Udinese
12-11-2022,Napoli,3 - 2,Udinese
04-01-2023,Udinese,1 - 1,Empoli
07-01-2023,Juventus,1 - 0,Udinese
15-01-2023,Udinese,1 - 2,Bologna
22-01-2023,Sampdoria,0 - 1,Udinese
30-01-2023,Udinese,1 - 1,Verona
05-02-2023,Torino,1 - 0,Udinese
12-02-2023,Udinese,2 - 2,Sassuolo
18-02-2023,Inter,3 - 1,Udinese
26-02-2023,Udinese,2 - 2,Spezia
04-03-2023,Atalanta,0 - 0,Udinese
11-03-2023,Empoli,0 - 1,Udinese
18-03-2023,Udinese,3 - 1,Milan
02-04-2023,Bologna,? - ?,Udinese
15-08-2022,Verona,2 - 5,Napoli
21-08-2022,Bologna,1 - 1,Verona
28-08-2022,Verona,0 - 1,Atalanta
31-08-2022,Empoli,1 - 1,Verona
04-09-2022,Verona,2 - 1,Sampdoria
11-09-2022,Lazio,2 - 0,Verona
18-09-2022,Fiorentina,2 - 0,Verona
03-10-2022,Verona,1 - 2,Udinese
09-10-2022,Salernitana,2 - 1,Verona
16-10-2022,Verona,1 - 2,Milan
24-10-2022,Sassuolo,2 - 1,Verona
31-10-2022,Verona,1 - 3,Roma
06-11-2022,Monza,2 - 0,Verona
10-11-2022,Verona,0 - 1,Juventus
13-11-2022,Verona,1 - 2,Spezia
04-01-2023,Torino,1 - 1,Verona
09-01-2023,Verona,2 - 0,Cremonese
14-01-2023,Inter,1 - 0,Verona
21-01-2023,Verona,2 - 0,Lecce
30-01-2023,Udinese,1 - 1,Verona
06-02-2023,Verona,1 - 1,Lazio
13-02-2023,Verona,1 - 0,Salernitana
19-02-2023,Roma,1 - 0,Verona
27-02-2023,Verona,0 - 3,Fiorentina
05-03-2023,Spezia,0 - 0,Verona
12-03-2023,Verona,1 - 1,Monza
19-03-2023,Sampdoria,3 - 1,Verona
01-04-2023,Juventus,? - ?,Verona
