user,text,comments,retweets,likes,views
@CommunityNotes,"['Starting', 'today,', 'you’ll', 'get', 'a', 'heads', 'up', 'if', 'a', 'Community', 'Note', 'starts', 'showing', 'on', 'a', 'Tweet', 'you’ve', 'replied', 'to,', 'Liked', 'or', 'Retweeted.', 'This', 'helps', 'give', 'people', 'extra', 'context', 'that', 'they', 'might', 'otherwise', 'miss.']",61.6M,993,262,"6,925"
@Mayer,"['This', 'is', 'pretty', 'useful!']",8,1,42,68.1K
@CoreyDixon33,"['Any', 'news', 'on', 'when', 'longer', 'form', 'tweets', 'will', 'be', 'rolled', 'out', 'to', 'Canada?', '@TwitterCanada', '@TwitterSupport', '@elonmusk']",1,,2,"1,373"
@teslaownersSV,"['Demand', 'isn’t', 'an', 'issue', '“The', 'desire', 'for', 'people', 'to', 'own', 'a', 'Tesla', 'is', 'really', 'high,', 'the', 'limiting', 'factor', 'is', 'their', 'ability', 'to', 'pay', 'for', 'a', 'Tesla”', '@elonmusk']",709,791,"7,666",1.6M
@SpaceX,"['More', 'photos', 'from', 'Falcon', ""9's"", 'launch', 'of', 'Crew-6']",132,827,"7,428",547.6K
@WallStreetSilv,"['2000', 'years', 'and', 'we', ""haven't"", 'learned', 'still.']",228,"1,373","6,227",952.8K
@SpaceX,"['Dragon', 'has', 'separated', 'from', 'Falcon', '9’s', 'second', 'stage']",,,,
@Tesla,"['Investor', 'Day', 'Q&A']",231,879,"4,221",544.1K
